Name,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmtDecl,CountStmtExe,RatioCommentToCode,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Directory Structure/mall-common/src/main/java/com,7,7,43,323,54,195,74,81,59,"0,38",0,0,"0,00","0,00"
Directory Structure/mall-common/src/main/java/com/mtcarpenter,7,7,43,323,54,195,74,81,59,"0,38",0,0,"0,00","0,00"
Directory Structure/mall-common/src/main/java/com/mtcarpenter/mall,7,7,43,323,54,195,74,81,59,"0,38",0,0,"0,00","0,00"
Directory Structure/mall-common/src/main/java/com/mtcarpenter/mall/common,7,7,43,323,54,195,74,81,59,"0,38",0,0,"0,00","0,00"
Directory Structure/mall-common/src/main/java/com/mtcarpenter/mall/common/api,4,4,35,251,41,148,62,60,48,"0,42",0,0,"0,00","0,00"
Directory Structure/mall-common/src/main/java/com/mtcarpenter/mall/common/exception,3,3,8,72,13,47,12,21,11,"0,26",0,0,"0,00","0,00"
Directory Structure/mall-gateway/src,4,4,5,210,38,137,36,71,35,"0,26",0,0,"0,00","0,00"
Directory Structure/mall-gateway/src/main,4,4,5,210,38,137,36,71,35,"0,26",0,0,"0,00","0,00"
Directory Structure/mall-gateway/src/main/java,4,4,5,210,38,137,36,71,35,"0,26",0,0,"0,00","0,00"
Directory Structure/mall-gateway/src/main/java/com,4,4,5,210,38,137,36,71,35,"0,26",0,0,"0,00","0,00"
Directory Structure/mall-gateway/src/main/java/com/mtcarpenter,4,4,5,210,38,137,36,71,35,"0,26",0,0,"0,00","0,00"
Directory Structure/mall-gateway/src/main/java/com/mtcarpenter/mall,4,4,5,210,38,137,36,71,35,"0,26",0,0,"0,00","0,00"
Directory Structure/mall-gateway/src/main/java/com/mtcarpenter/mall/config,1,1,0,21,5,12,4,8,1,"0,33",0,0,"0,00","0,00"
Directory Structure/mall-gateway/src/main/java/com/mtcarpenter/mall/filter,1,1,2,88,12,67,10,36,19,"0,15",0,0,"0,00","0,00"
Directory Structure/mall-gateway/src/main/java/com/mtcarpenter/mall/util,1,1,2,81,18,46,17,20,14,"0,37",0,0,"0,00","0,00"
Directory Structure/mall-mbg/src,2,2,5,111,11,70,31,38,26,"0,44",0,0,"0,00","0,00"
Directory Structure/mall-mbg/src/main,2,2,5,111,11,70,31,38,26,"0,44",0,0,"0,00","0,00"
Directory Structure/mall-mbg/src/main/java,2,2,5,111,11,70,31,38,26,"0,44",0,0,"0,00","0,00"
Directory Structure/mall-mbg/src/main/java/com,2,2,5,111,11,70,31,38,26,"0,44",0,0,"0,00","0,00"
Directory Structure/mall-mbg/src/main/java/com/mtcarpenter,2,2,5,111,11,70,31,38,26,"0,44",0,0,"0,00","0,00"
Directory Structure/mall-mbg/src/main/java/com/mtcarpenter/mall,2,2,5,111,11,70,31,38,26,"0,44",0,0,"0,00","0,00"
Directory Structure/mall-monitor/mall-boot-admin,2,2,3,59,9,38,13,17,5,"0,34",0,0,"0,00","0,00"
Directory Structure/mall-monitor/mall-boot-admin/src,2,2,3,59,9,38,13,17,5,"0,34",0,0,"0,00","0,00"
Directory Structure/mall-monitor/mall-boot-admin/src/main,2,2,3,59,9,38,13,17,5,"0,34",0,0,"0,00","0,00"
Directory Structure/mall-monitor/mall-boot-admin/src/main/java,2,2,3,59,9,38,13,17,5,"0,34",0,0,"0,00","0,00"
Directory Structure/mall-monitor/mall-boot-admin/src/main/java/com,2,2,3,59,9,38,13,17,5,"0,34",0,0,"0,00","0,00"
Directory Structure/mall-monitor/mall-boot-admin/src/main/java/com/mtcarpenter,2,2,3,59,9,38,13,17,5,"0,34",0,0,"0,00","0,00"
Directory Structure/mall-monitor/mall-boot-admin/src/main/java/com/mtcarpenter/mall,2,2,3,59,9,38,13,17,5,"0,34",0,0,"0,00","0,00"
Directory Structure/mall-monitor/mall-boot-admin/src/main/java/com/mtcarpenter/mall/config,1,1,2,41,7,27,8,11,4,"0,30",0,0,"0,00","0,00"
Directory Structure/mall-portal-content/content-common,2,2,34,231,55,164,12,66,55,"0,07",0,0,"0,00","0,00"
Directory Structure/mall-portal-content/content-mbg,7,4,241,1298,262,1006,31,303,467,"0,03",0,0,"0,00","0,00"
Directory Structure/mall-portal-content/content-server,7,7,11,222,33,137,53,77,19,"0,39",0,0,"0,00","0,00"
Directory Structure/mall-portal-content/content-common/src,2,2,34,231,55,164,12,66,55,"0,07",0,0,"0,00","0,00"
