Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"PrefixRedisSerializer.java",6,0,6,0,1,"0,00","0,00",0,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,53,11,36,21,13,6,,19,25,17,10,,2,,1,,,"0,17",5
File,"ProjectInfo.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,21,4,11,10,0,6,,6,7,7,0,,0,,0,,,"0,55",0
File,"ProjectInfo.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,21,4,11,10,0,6,,6,7,7,0,,0,,0,,,"0,55",0
File,"ProjectInfo.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,21,4,11,10,0,6,,6,7,7,0,,0,,0,,,"0,55",0
File,"PushApplication.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,16,5,11,8,1,0,,5,7,6,1,,1,,0,,,"0,00",1
File,"PushApplicationTests.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,25,7,13,12,0,5,,8,9,9,0,,0,,0,,,"0,38",0
File,"PushClient.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,25,3,11,10,0,11,,6,7,7,0,,0,,0,,,"1,00",0
File,"PushClient.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,25,3,11,10,0,11,,6,7,7,0,,0,,0,,,"1,00",0
Unknown Annotation,"PutMapping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"QiNiuService.java",8,0,8,0,2,"0,00","0,00",0,0,,,,,1,0,4,2,,2,2,3,2,,0,1,0,1,,51,5,37,24,16,10,,24,29,22,11,,3,,2,,,"0,27",4
File,"ReadMessage.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,21,4,11,10,0,6,,6,7,7,0,,0,,0,,,"0,55",0
File,"ReceiveInfo.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,21,4,12,11,1,5,,7,8,8,1,,0,,0,,,"0,42",0
File,"ReceiveResume.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,5,0,,0,0,0,0,,34,8,17,16,0,9,,11,12,12,0,,0,,0,,,"0,53",0
File,"ReceiveResume.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,5,0,,0,0,0,0,,34,8,17,16,0,9,,11,12,12,0,,0,,0,,,"0,53",0
File,"RecommendCandidate.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,30,5,12,11,0,13,,7,8,8,0,,0,,0,,,"1,08",0
File,"RecommendRecruit.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,3,0,,0,0,0,0,,29,5,10,9,0,14,,6,7,7,0,,0,,0,,,"1,40",0
File,"RecommendUser.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,24,6,12,11,0,6,,7,8,8,0,,0,,0,,,"0,50",0
File,"RecommendUser.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,25,6,13,12,0,6,,8,9,9,0,,0,,0,,,"0,46",0
File,"Recruit.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,18,3,10,9,0,5,,5,6,6,0,,0,,0,,,"0,50",0
File,"Recruit.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,22,5,12,11,0,5,,7,8,8,0,,0,,0,,,"0,42",0
File,"Recruit.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,24,5,14,13,0,5,,9,10,10,0,,0,,0,,,"0,36",0
File,"RecruitAndCompany.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,24,5,13,12,0,6,,8,9,9,0,,0,,0,,,"0,46",0
